question,candidates,llm_final_match
Fatalities of employees,"['Number Of Permanent Employees On Rolls Of Company', 'Commission Employees', 'Number Of Fatalities - Employees Member - Previous Year', 'Number Of Fatalities - Employees Member']",
Fatalities of workers,"['Name Of State Union Territory Of Place Of Maintenance Of Computer Servers Storing Accounting Data', 'Number Of Fatalities - Workers Member', 'Number Of Fatalities - Workers Member - Previous Year', 'Address Of Registered Office Of Company']",
"Has the company advocated any public policy positions? If yes, provide details","['Web Link Public Policy Position Advocated - Public Policy34', 'Web Link Public Policy Position Advocated - Public Policy38', 'Whether Any Borrowing Costs Has Been Capitalised During The Year', 'Remarks For Assurance Of Details Of Public Policy Positions Advocated By The Entity', 'Web Link Public Policy Position Advocated - Public Policy1', 'Whether Company Has Entered Into Any Lease Agreement', 'Assurance Sub Type For Details Of Public Policy Positions Advocated By The Entity']",
"Has the company identified risk and threats it faces in ensuring the safet and security of its passengers, staff, and assets","['Remarks For Assurance Of Measures Taken By The Entity To Ensure ASafe And Healthy Work Place', 'Number Of Employees In The Company At The End Of The Financial Year', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Description Of How Entity Reflects Its Risk Management Strategy By Using Hedge Accounting And Designating Hedging Relationships That It Frequently Resets', 'Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company', 'Desclosure Of The Processes Used To Identify Work Related Hazards And Assess Risks On ARoutine And Non Routine Basis By The Entity Explanatory Text Block', 'The Entity Has Not Applicable AFramework Or Policy On Cyber Security And Risks Related To Data Privacy Explanatory Text Block']",
Has the company partnered with airframe and tehnology manufacturesre to increase fuel efficiency and reduce environmental impact,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Assurer Has Assured Whether The Entity Compliant With The Applicable Environmental Law', 'Assurance Sub Type For Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts', 'Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts', 'Power And Fuel', 'Remarks For Assurance Of Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts']",
"Has the company taken any corrective action or underway on any issues related to anti competitive model, based on adverse orders from regulatory authorities? If yes, provide details","['Assurance Sub Type For Details Of Corrective Action Taken Or Underway On Any Issues Related To Anti Competitive Conduct By The Entity Based On Adverse Orders From Regulatory Authorities', 'Remarks For Assurance Of Details Of Corrective Action Taken Or Underway On Any Issues Related To Anti Competitive Conduct By The Entity Based On Adverse Orders From Regulatory Authorities', 'Whether Company Has Entered Into Any Lease Agreement', 'Whether Auditors Report Has Been Qualified Or Has Any Reservations Or Contains Adverse Remarks']",
"Has the company taken initiatives to use reusable, recyclable or compostable packagin","['Whether Company Has Published Sustainability Report For The Financial Year', 'Whether The Company Has Undertaken Assessment Or Assurance Of The BRSRCore', 'Assurance Sub Type For Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services', 'Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services Explanatory Text Block', 'Whether The Company Has Undertaken Reasonable Assurance Of The BRSRCore', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
Has the company undergone any fines/penalties/punishments/award/compunding fees/settlement amount paid in proceedings with regulators/law enforcement agencies/judicial institution during the financial year,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Assurance Sub Type For Details Of Fines Or Penalties Or Punishment Or Award Or Compounding Fees Or Settlement', 'Whether Any Borrowing Costs Has Been Capitalised During The Year', 'Remarks For Assurance Of Details Of Fines Or Penalties Or Punishment Or Award Or Compounding Fees Or Settlement']",
Has the entity implemented mechanism for Zero Liquid Discharge,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Has The Entity Implemented AMechanism For Zero Liquid Discharge', 'Whether Any Borrowing Costs Has Been Capitalised During The Year', 'Remarks For Assurance Of The Entity Implemented AMechanism For Zero Liquid Discharge', 'Assurance Sub Type For The Entity Implemented AMechanism For Zero Liquid Discharge']",
Has the entity performed audit by DoT and maintain compliance with EMF radiation levels set by local regulations and ICNIRP,"['Remarks For Assurance Of Specific Commitments Goals And Targets Set By The Entity With Defined Timelines', 'Assurance Sub Type For Specific Commitments Goals And Targets Set By The Entity With Defined Timelines', 'Whether Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Is Assured By Assurer', 'Cost Taxes Other Levies By Government Local Authorities', 'Cash And Cash Equivalents Held By Entity Unavailable For Use By Group']",
How are potential security threats and emergencies addressed,"['Safety Security Expenses', 'Remark For Consumer Complaints - Cyber Security Member', 'Web Link Of The Policy On Cyber Security And Risks Related To Data Privacy', 'Steps Taken To Address The Waste Collection Plan Explanatory Text Block', 'Indication Of How Frequently Hedging Relationships Are Discontinued And Restarted', 'Description Of Whether There Are Potential Income Tax Consequences Not Practicably Determinable']",
How did the entity handle aliquots and provide details on reducing aliquots,"['Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are', 'Provide The Processes For Consultation Between Stakeholders And The Board On Economic Environmental And Social Topics Or If Consultation Is Delegated How Is Feedback From Such Consultations Provided To The Board Explanatory Text Block', 'Description Of How Entity Determined Maximum Economic Benefit Available', 'Do Human Rights Requirements Form Part Of Your Business Agreements And Contracts', 'Details Of Instances As To How The Inputs Received From Stakeholders On These Topics Were Incorporated Into Policies And Activities Of The Entity Explanatory Text Block']",
How does the company ensure that the minority shareholders effectively protect their interest and rights within company,"['Number Of Employees In The Company At The End Of The Financial Year', 'Number Of Shareholders Of Company', 'Percentage Of Sourced Directly From Within The District And Neighbouring Districts - Previous Year', 'Percentage Of Sourced Directly From Within The District And Neighbouring Districts', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board', 'Profit Loss For Period Before Minority Interest']",
How many complaints were filed by employees and workers or employees as a % of number of employees in the current year,"['Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member', 'Number Of Employees In The Company At The End Of The Financial Year', 'Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member - Previous Year', 'Commission Employees', 'Number Of Complaints Filed During The Year - Working Conditions Complaints Member']",
How many complaints were filed on discrimination at workplace in current year?,"['Whether Subsidiary Has Filed Balance Sheet', 'Number Of Complaints Filed During The Year - Discrimination At Work Place Member', 'Number Of Complaints Pending Resolution At The End Of Year - Discrimination At Work Place Member', 'Amount Provided In Current Year', 'Number Of Complaints Filed During The Year - Discrimination At Work Place Member - Previous Year']",
How many complaints were filed on wages in the current year,"['Number Of Complaints Filed During The Year - Wages Member - Previous Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Salaries And Wages', 'Number Of Complaints Filed During The Year - Health Safety Complaints Member', 'Number Of Complaints Filed During The Year - Wages Member']",
How many labs are NABL accredited,"['Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are', 'Waste Intensity The Relevant Metric May Be Selected By The Entity', 'Indication Of How Frequently Hedging Relationships Are Discontinued And Restarted', 'Water Intensity The Relevant Metric May Be Selected By The Entity', 'Waste Intensity The Relevant Metric May Be Selected By The Entity - Previous Year']",
How many patents were filed and granted during the current year,"['Information Whether And How Other Features Were Incorporated Into Measurement Of Fair Value Share Options Granted', 'Whether Any Borrowing Costs Has Been Capitalised During The Year', 'Number Of Complaints Filed During The Year - Wages Member', 'Number Of Complaints Filed During The Year - Otherhumanrightsrelatedissues Member']",
How much was the Water intensity in Current Year (in kilolitres) for physical output?,"['Top Ten Employed Throughout The Financial Year Was In Receipt Of Remuneration In Aggregate For That Year Not Less Than One Crore And Two Lakh Rupees Explanatory', 'Cost Water Charges', 'Water Intensity In Term Of Physical Output', 'Energy Intensity In Term Of Physical Output', 'Water Intensity In Term Of Physical Output - Previous Year']",
How much was the hazardous waste for the current year (in metric tonnes)?,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Other Hazardous Waste - Previous Year', 'Waste Intensity The Relevant Metric May Be Selected By The Entity - Previous Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Waste Recovered', 'Amount Of Recycled - Hazardous Waste Member', 'Waste Recovered Through Recycled']",
ISO 13485,"['Water Discharge To Groundwater With Out Treatment Per Area - Facility Or Plant Located In Areas Of Water Stress Domain5', 'ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data', 'Web Link Public Policy Position Advocated - Public Policy38', 'Corporate Identity Number', 'Date Of Board Of Directors Meeting In Which Board Report Referred To Under Section 134 Was Approved', 'Accounting Estimates Domain']",
ISO 22000 FSSC,"['Water Discharge To Groundwater With Out Treatment Per Area - Facility Or Plant Located In Areas Of Water Stress Domain5', 'ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data', 'Web Link Public Policy Position Advocated - Public Policy38', 'CompanyName', 'Disclosure In Auditors Report Relating To Compliance With Section 185 And 186 Of Companies Act 2013', 'Accounting Estimates Domain']",
ISO 9001:2015 certification,"['Number Of Certified Emission Rights Under Certification', 'Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle Explanatory Text Block - Principle1 Member', 'ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data', 'Remarks For Assurance Of Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle', 'Assurance Sub Type For Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle']",
Independence of Chairperson of committee (Audit),"['Number Of Days Of Accounts Payable - Previous Year', 'Number Of Days Of Accounts Payable', 'Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory', 'Name Of Audit Firm', 'Disclosure Of Composition Of CSR Committee Text Block', 'Amount Of Accounts Payable During The Year']",
Independence of Chairperson of committee (NRC),"['Disclosure Of Composition Of CSR Committee Explanatory', 'Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory', 'Description Of Other Committee For Compliance With Statutory Requirements Of Relevance To The Principles And Rectification - Principle5 Member', 'Description Of Other Committee For Compliance With Statutory Requirements Of Relevance To The Principles And Rectification - Principle1 Member', 'Description Of Other Committee For Compliance With Statutory Requirements Of Relevance To The Principles And Rectification - Principle4 Member', 'Disclosure Of Composition Of CSR Committee Text Block']",
Independence of Chairperson of committee (risk management),"['Number Of Female Key Management Personnel', 'Whether You Have Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks', 'Disclosure Of Risk Management Strategy Related To Hedge Accounting Explanatory', 'Explanation Of Risk Management Strategy Related To Hedge Accounting Explanatory', 'Desclosure Of The Processes Used To Identify Work Related Hazards And Assess Risks On ARoutine And Non Routine Basis By The Entity Explanatory Text Block']",
Is company using sustainable alternative fuels liek SAF in its fleet,"['Shares In Company Held By Subsidiaries Of Its Holding Company', 'Whether Company Is Listed Company', 'It Is Planned To Be Done In The Next Financial Year - Principle7 Member', 'It Is Planned To Be Done In The Next Financial Year - Principle9 Member', 'It Is Planned To Be Done In The Next Financial Year - Principle8 Member', 'Shares In Company Held By Associates Of Its Holding Company']",
Is the chairperson of the board an independent director?,"['Name Of Stock Exchange Where The Company Is Listed', 'Whether The Processes For Consultation Between Stakeholders And The Board On Economic Environmental And Social Topics Or If Consultation Is Delegated How Is Feedback From Such Consultations Provided To The Board Is Assured By Assurer', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Total Number Of Board Of Directors', 'Whether Initial Application Of An Ind As Has An Effect On The Current Period Or Any Prior Period', 'Number Of Female Board Of Directors']",
Is the company adhering to Food Safety Standards and Processes,"['Name Of Stock Exchange Where The Company Is Listed', 'Safety Security Expenses', 'It Is Planned To Be Done In The Next Financial Year - Principle5 Member', 'Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks Is Not Applicable Explanatory Text Block', 'It Is Planned To Be Done In The Next Financial Year - Principle3 Member', 'Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company', 'It Is Planned To Be Done In The Next Financial Year - Principle6 Member']",
Is the company aligned with SDGs? Does the company set targets according  to SDGs,"['Whether Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Is Assured By Assurer', 'Name Of Stock Exchange Where The Company Is Listed', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Remarks For Assurance Of Specific Commitments Goals And Targets Set By The Entity With Defined Timelines']",
Is the company currently operating/deploying low carbon fleet (EVs or other vehicles) in its logistics business or do they have a plan to shift current feet to low carbon alternative fleet,"['Shares In Company Held By Holding Company Or Ultimate Holding Company Or By Its Subsidiaries Or Associates', 'Do You Have AFocal Point Responsible For Addressing Human Rights Impacts Or Issues Caused Or Contributed To By The Business', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'It Is Planned To Be Done In The Next Financial Year - Principle6 Member']",
"Is the company exposed to animal products and are these certified or accredited by one or more independent third party? If yes, does the company demand or monitor such certification or accreditation from its suppliers?","['Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Whether Weblink Where Information On Products And Services Of The Entity Can Be Accessed Is Assured By Assurer', 'Whether APreferential Procurement Policy Where Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups And Its Percentage Of Total Procurement By Value Does It Constitute Is Assured By Assurer']",
Is the company fulfilling International Maritime Organisation - MARPOL Air Pollution prevention guidelines,"['Name Of Stock Exchange Where The Company Is Listed', 'Whether Company Is Listed Company', 'Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards', 'Whether Details Of Air Emissions Other Than Ghg Emissions By The Entity Is Applicable To The Company', 'Type Of Assurance For Governance Leadership And Oversight']",
Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year?,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Percentage Of Investments In Related Parties In Total Investments - Previous Year', 'Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year - Previous Year', 'Whether CSRIs Applicable As Per Section135 Of Companies Act2013']",
Is the company manufacturing any energy efficient products or is spending on R&D for manufacturing such products in near future?,"['Percentage Of RAnd D - Previous Year', 'Products And Services Domain', 'Whether The Products And Packaging Reclaimed At End Of Life Of Products Amount Reused Or Recycled Or Safely Disposed Is Assured By Assurer', 'Whether Products Or Services Sold By The Entity Accounting For Ninety Percent Of The Turnover Is Assured By Assurer', 'Percentage Of RAnd D', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
Is the company manufacturing sustainable/eco-friendly paint/coatings,"['Name Of Stock Exchange Where The Company Is Listed', 'Whether The Processes For Identifying Key Stakeholder Groups Of The Entity Is Assured By Assurer', 'Whether Company Is Listed Company', 'Whether The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably Is Assured By Assurer', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Is the company offering e-learning courses/certifications to its students,"['Name Of Stock Exchange Where The Company Is Listed', 'Whether EMail Of The Company Is Assured By Assurer', 'It Is Planned To Be Done In The Next Financial Year - Principle2 Member', 'Whether Details Of Green House Gas Emissions And Its Intensity Is Applicable To The Company', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company', 'It Is Planned To Be Done In The Next Financial Year - Principle4 Member']",
Is the company promoting local tourism,"['Amount Spent In Local Area', 'Name Of Stock Exchange Where The Company Is Listed', 'Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Whether Company Is Listed Company', 'Assurer Has Assured Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Percentage Of Loans And Advances Given To Related Parties In Total Loans And Advances']",
"Is the company sourcing raw materials from the certified sustainable sources (such as global GAP, RSPO, Rainforest, FSC)","['Raw Materials Consumed', 'Whether The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably Is Assured By Assurer', 'Description Of Raw Materials Category', 'Does The Entity Have Procedures In Place For Sustainable Sourcing', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
Is the company using low carbon vehicle and equipments in its ports to carry out operations,"['Vehicle Running Expenses', 'Whether Details Of Green House Gas Emissions And Its Intensity Is Applicable To The Company', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'It Is Planned To Be Done In The Next Financial Year - Principle7 Member', 'Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company', 'It Is Planned To Be Done In The Next Financial Year - Principle6 Member']",
Is the company using sustainable material in its typre (also state the ttype of material used) or has committed to use sustainable material in typres,"['Material Cost Contract', 'Whether The Entity Has Undertaken Any Specific Initiatives Or Used Innovative Technology Or Solutions To Improve Resource Efficiency Is Assured By Assurer', 'Recycled Or Re Used In Put Material To Total Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain2', 'It Is Planned To Be Done In The Next Financial Year - Principle5 Member', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Remarks For Assurance Of The Entity Has Undertaken Any Specific Initiatives Or Used Innovative Technology Or Solutions To Improve Resource Efficiency', 'Recycled Or Re Used In Put Material To Total Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain8']",
Is the company’s training centre for its seafarers certified or has got validated by any institution,"['Whether The Entity Has Undertaken Any Specific Initiatives Or Used Innovative Technology Or Solutions To Improve Resource Efficiency Is Assured By Assurer', 'Assurer Has Assured Whether The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Has The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services', 'Training Recruitment Expenses']",
Is the education institute providing placement assistance to its students,"['Education Cess Pertaining To Exploration And Production Activities', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'It Is Planned To Be Done In The Next Financial Year - Principle7 Member', 'It Is Planned To Be Done In The Next Financial Year - Principle8 Member', 'It Is Planned To Be Done In The Next Financial Year - Principle3 Member', 'Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company']",
"Is the entity compliant with the appliacble environmental law/regulations/guidelines for India; such as the Water (Prevention and Control of Pollution) Act, AIr (Prevention and Control of Pollution) Act, Environmental protection act and rules thereunder (Y/N). If not, provide details of all such non compliances","['Operating And Maintenance Cost Of Emission And Other Pollution Reduction Equipments', 'Is The Entity Compliant With The Applicable Environmental Law', 'Number Of Employees In The Company At The End Of The Financial Year', 'Remarks For Assurance Of Whether The Entity Compliant With The Applicable Environmental Law', 'Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines6', 'Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines7']",
"Is the forestland certified as per international sustainable forest management standards such as FSC, PEFC, SFI","['Whether Measures Taken By The Entity To Ensure ASafe And Healthy Work Place Is Assured By Assurer', 'Profit Loss For The Period As Per Ind As', 'Number Of Certified Emission Rights Held As Inventory', 'Profit Loss For The Period As Per Indian Gaap', 'Whether Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle Is Assured By Assurer', 'Equity As Per Ind As']",
Is the independent director paid commissions/incentives other than the board sitting fees,"['Number Of Board Of Directors For Remuneration Or Salary Or Wages - Other Gender Member', 'Details Of Specified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues Explanatory Text Block', 'Directors Sitting Fees', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Sitting Fees Key Managerial Personnel Or Director']",
Is the manufacturing smart farm equipments/machinery,"['Capital Investment On Energy Conservation Equipments', 'It Is Planned To Be Done In The Next Financial Year - Principle4 Member', 'It Is Planned To Be Done In The Next Financial Year - Principle8 Member', 'Repairs To Machinery']",
Is the variable pay of executives linked to sustainability or ESG parameters,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Whether Statement By Director Responsible For The Business Responsibility Report Highlighting ESGRelated Challenges Targets And Achievements Is Assured By Assurer', 'Name Of Stock Exchange Where The Company Is Listed', 'Details Of Specified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues Explanatory Text Block', 'Environmental And Social Parameters Relevant To The Product As APercentage To Total Turnover']",
Is the whistleblower policy applicable to value chain,"['Whether Cash Flow Statement Is Applicable On Company', 'The Enlisted Policies Do Not Applicable Extend To Your Value Chain Partners Explanatory Text Block - Principle1 Member', 'The Enlisted Policies Do Not Applicable Extend To Your Value Chain Partners Explanatory Text Block - Principle6 Member', 'The Enlisted Policies Do Not Applicable Extend To Your Value Chain Partners Explanatory Text Block - Principle7 Member', 'Whether Secretarial Audit Report Is Applicable On Company', 'The Enlisted Policies Do Not Applicable Extend To Your Value Chain Partners Explanatory Text Block - Principle5 Member']",
Is there a claw back mechanism/policy for senior management/KMP,"['Type Of Assurance For Policy And Management Processes', 'Whether There Is Any Business Combination', 'Whether There Is Any Voluntary Change In Accounting Policy', 'Is There AMechanism Available To Receive And Redress Grievances For Permanent Workers', 'Is There AMechanism Available To Receive And Redress Grievances For Permanent Employees']",
Is there a disclosure regarding the energy management system? ISO 50001 Certification,"['Whether There Is Any Change In Functional Currency During The Year', 'Whether Health And Safety Management System Is Assured By Assurer', 'Disclosure Web Link Of Entity At Which Business Continuity And Disaster Management Plan Is Placed', 'Details Regarding Energy Conservation']",
Is there a policy on related party transactions,"['Percentage Of Sales To Related Parties In Total Sales For Share Of Related Party Transactions', 'Amounts Receivable Related Party Transactions', 'Whether There Are Any Related Party Transactions During Year', 'Percentage Of Purchases From Related Parties In Total Purchases For Share Of Related Party Transactions', 'Settlement Of Liabilities On Behalf Of Entity By Related Party Related Party Transactions']",
Is there a robust supplier assessment done by the company to avoid any conflicts with ESG requirements/sustainability/ESG assessment for suppliers,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Description Of Intangible Assets With Indefinite Useful Life Supporting Assessment Of Indefinite Useful Life', 'Whether There Is Any Business Combination', 'Whether Compliance With Statutory Requirements Of Relevance To The Principles And Rectification Of Any Non Compliances Is Assured By Assurer', 'Whether The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board Is Assured By Assurer', 'Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board']",
Is there any commitment or plan to shift to alternate fuels such as SAF,"['Whether There Is Any Departure From Ind AS', 'Whether There Is Any Business Combination', 'Is There AMechanism Available To Receive And Redress Grievances For Permanent Employees', 'Is There AMechanism Available To Receive And Redress Grievances For Permanent Workers']",
Is there presence of offices/manufacturing facilities in ecologically sensitive areas,"['Disclosure Of Geographical Areas Explanatory', 'Description How There Is Significant Influence In Associate', 'Whether Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required Is Assured By Assurer', 'Remarks For Assurance Of Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required']",
Is your company a signatory/participant of the United Nations Global Compact,"['Name Of Stock Exchange Where The Company Is Listed', 'Whether Company Is Listed Company', 'Number Of Countries Where Market Served By The Entity', 'Initially Applied Ind A Ss Domain', 'Whether Details Of The Stock Exchange Where The Company Is Listed Is Assured By Assurer', 'Country Of Other Stock Exchange - Stock Exchange3']",
N-CAP Rating of 4 or 5 star?,"['Statement Showing Details Of Employees Of Company Under Sub Rule 2 And 3 Of Rule 5 Of Companies Appointment And Remuneration Of Managerial Personnels Rules 2014 Explanatory', 'State Of CSRProjects Undertaken - CSRProjects Undertaken7', 'NOx', 'Disclosure As Per Sub Rule 5 Of Rule 8 Of Companies Accounts Rules 2014 Explanatory', 'NOx - Previous Year']",
Number of complaints filed by community stakeholders,"['Whether Subsidiary Has Filed Balance Sheet', 'Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Communities Member', 'Number Of Complaints Filed During The Year - Health Safety Complaints Member', 'Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Communities Member - Previous Year', 'Number Of Complaints Filed During The Year - Working Conditions Complaints Member', 'Number Of Shares Held By Mutual Funds']",
Number of complaints on PSH as a % of female employees/workers for current year,"['Number Of Trained Employees Or Workers - Female Member - On Skill Upgradation Member - Workers Member', 'Number Of Employees In The Company At The End Of The Financial Year', 'Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year', 'Number Of Trained Employees Or Workers - Female Member - On Skill Upgradation Member - Workers Member - Previous Year', 'Number Of Permanent Employees On Rolls Of Company', 'Number Of Female Employees Or Workers - Previous Year']",
Number of complaints received in relation to issues of conflict of interest of the directors/KMPs,"['Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The KMPs', 'Number Of Other Issues Of Shares', 'Number Of Employees In The Company At The End Of The Financial Year', 'Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The Directors', 'Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The KMPs - Previous Year']",
Number of directors against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,"['Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory', 'Remarks For Assurance Of Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption', 'Details Of Implementing Agency', 'Assurance Sub Type For Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption']",
Number of directorships of all board members,"['Total Number Of Training And Awareness Programs Held - Board Of Directors Segment Member', 'Names Of All Partners In Partnership Firm', 'Total Number Of Board Of Directors', 'Number Of Female Board Of Directors', 'Number Of Meetings Of Board']",
Number of employees against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,"['Number Of Employees In The Company At The End Of The Financial Year', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory', 'Remarks For Assurance Of Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption', 'Assurance Sub Type For Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption']",
Number of independent directors in CSR committee,"['Disclosure Responsibility Statement Of CSR Committee That Implementation And Monitoring Of CSR Policy Is In Compliance With CSR Policy Of Company', 'Disclosure Of Composition Of CSR Committee Explanatory', 'Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The Directors', 'Total Number Of Board Of Directors', 'Number Of Female Board Of Directors', 'Disclosure Of Composition Of CSR Committee Text Block']",
Number of independent directors in risk management committee,"['Number Of Female Key Management Personnel', 'Information About Ultimate Risk Management Strategy In Relation To Hedging Relationships That Entity Frequently Resets', 'Reappointment Of Independent Directors As Per Section 14910 Explanatory', 'Total Number Of Board Of Directors', 'Number Of Female Board Of Directors', 'Total Number Of Key Management Personnel']",
Number of independent women directors on the board,"['Reappointment Of Independent Directors As Per Section 14910 Explanatory', 'Directors Signing Board Report Domain', 'Total Number Of Board Of Directors', 'Number Of Female Board Of Directors', 'Percentage Of Female Board Of Directors']",
