question,kalman_fused_match,fused_score,mha_score_raw,bm25_score_norm,kalman_gain,p_value,verification_status,alt_match_1,alt_fused_score_1
Is there a robust supplier assessment done by the company to avoid any conflicts with ESG requirements/sustainability/ESG assessment for suppliers,Whether There Is Any Business Combination,1.0,0.3694,1.0,0.0,0.0,Kalman Verified (High),Whether Compliance With Statutory Requirements Of Relevance To The Principles And Rectification Of Any Non Compliances Is Assured By Assurer,0.998
Does the company have a documented CSR policy in place,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.3697,1.0,0.0,0.0,Kalman Verified (High),Disclosure Responsibility Statement Of CSR Committee That Implementation And Monitoring Of CSR Policy Is In Compliance With CSR Policy Of Company,0.9007
Whether there are mechanisms to receive and redress grievances of the community,Whether Describe The Mechanisms To Receive And Redress Grievances Of The Community Is Assured By Assurer,1.0,0.813,1.0,0.0,0.0,Kalman Verified (High),Describe The Mechanisms To Receive And Redress Grievances Of The Community Explanatory Text Block,0.9919
Does the entity disclose the details of beneficiaries of CSR projects,Details CSR Policy Explanatory,1.0,0.5385,1.0,0.0,0.0,Kalman Verified (High),Type Of Assurance For Details Of CSR,0.9526
"Does the company conduct impact assessments for CSR projects? If yes, provide details",Disclosure Of Reasons If Company Fails To Spend Prescribed Amount On CSR,1.0,0.5577,1.0,0.0,0.0,Kalman Verified (High),Disclosure Of Other Reasons If Company Fails To Spend Prescribed Amount On CSR,0.9635
Does the company conduct of assessment of negative impacts of its operation on the communities,Remarks For Assurance Of Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments,1.0,0.5606,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments,0.9686
Provide details of actions taken to mitigate any negative social impacts identified in the Social Impact Assessments,Remarks For Assurance Of Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments,1.0,0.954,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments,0.9971
Does the entity have a framework/policy on cybersecurity and risks related to data privacy,Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,1.0,0.8649,1.0,0.0,0.0,Kalman Verified (High),Assurer Has Assured Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.8384
Does the company’s policy on cybersecurity and risks related to data privacy extend to its value chain partners,Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,1.0,0.6864,1.0,0.0,0.0,Kalman Verified (High),Web Link Of The Policy On Cyber Security And Risks Related To Data Privacy,0.9755
Provide number of instances of data breaches along with their impact on the company,Number Of Instances Of Data Breaches Along With Impact,1.0,0.8674,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,0.7673
Does the company conduct cybersecurity assessment by a third party,Water Withdrawal By Third Party Water,1.0,0.1762,1.0,0.0,0.0,Kalman Verified (High),Water Withdrawal By Third Party Water - Previous Year,0.9107
"Does the entity comply with ISO 27001:2013, ISO 22301:2019 OR PCI DSS standards to safeguard the customer data",ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,1.0,0.3975,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.6869
Does the organisation conduct training on data privacy and awareness programs for information security to its customers/employees,Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,1.0,0.5626,1.0,0.0,0.0,Kalman Verified (High),Web Link Of The Policy On Cyber Security And Risks Related To Data Privacy,0.9457
Does the company have a communication plan for engaging with the communities affected with aircraft noise,Does The Entity Have ABusiness Continuity And Disaster Management Plan,1.0,0.3482,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,0.8939
Does the company comply with Maritime Labour Convention adopted by International Labour Organisation in 2006,Number Of Complaints Filed During The Year - Forced Labour Or Involuntary Labour Member,1.0,0.3431,1.0,0.0,0.0,Kalman Verified (High),Remarksfor Complaints Explanatory Text Block - Forced Labour Or Involuntary Labour Member,0.9701
Is the company’s training centre for its seafarers certified or has got validated by any institution,Has The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services,1.0,0.3018,1.0,0.0,0.0,Kalman Verified (High),Assurer Has Assured Whether The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services,0.9258
Does the company have agreements which safeguard the wellbeing of farm workers through the Agricultural Labour Practices Code,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.4348,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have ABusiness Continuity And Disaster Management Plan,1.0
Does the company ensure its jewellery meet BIS hallmark standards for quality assurance,Remarks For Assurance Of Measures Taken By The Entity To Ensure ASafe And Healthy Work Place,1.0,0.3458,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Measures Taken By The Entity To Ensure ASafe And Healthy Work Place,1.0
Is the education institute providing placement assistance to its students,Education Cess Pertaining To Exploration And Production Activities,1.0,0.2897,1.0,0.0,0.0,Kalman Verified (High),Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,0.9588
Does the company have a editorial policy,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,0.3433,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,0.8579
Does the company implement strategies to control and reduce the amount of construction and demolition waste from buildings that are constructed or are part of portfolio,Construction And Demolition Waste,1.0,0.6729,1.0,0.0,0.0,Kalman Verified (High),Construction And Demolition Waste - Previous Year,0.902
Does the company have programs established to measure food loss and waste,Methods Used To Measure Risk,1.0,0.3108,1.0,0.0,0.0,Kalman Verified (High),Changes In Methods Used To Measure Risk,0.9066
Does the company have any targets to reduce food waste,Does The Entity Have Any Project Related To Reducing Green House Gas Emission,1.0,0.5048,1.0,0.0,0.0,Kalman Verified (High),Disclose Whether Targets Set Under The Pat Scheme Have Been Achieved In Case Targets Have Not Been Achieved Then Provide The Remedial Action Taken Explanatory Text Block,0.8223
What initiatives are undertaken to mitigate the health risks of smoking and tobacco use,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,1.0,0.1709,1.0,0.0,0.0,Kalman Verified (High),Description Of Fact That Highest And Best Use Of Nonfinancial Assets Differs From Current Use,0.94
Are any of its hospitals accredited with NABH or JIC? How many of its hospitals accredited with NABH or JIC?,Has The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services,1.0,0.2413,1.0,0.0,0.0,Kalman Verified (High),Assurer Has Assured Whether The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services,0.9307
Does the company have a program or is taking efforts to increase the availability and affordability of the medicines in low income/developing markets,Whether Markets Served By The Entity Is Assured By Assurer,1.0,0.2641,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.9592
Does the company have publicly available programs to improve the accessibility to healthcare,Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services,1.0,0.4813,1.0,0.0,0.0,Kalman Verified (High),The Entity Does Not Have The Financial Or Human And Technical Resources Available For The Task - Principle3 Member,0.8443
Are the production units and R&D centres certified to International Aerospace Standard AS9100D and other required aviation standards,Expenditure On Production Transportation And Other Expenditure Pertaining To Exploration And Production Activities,1.0,0.0767,1.0,0.0,0.0,Kalman Verified (High),Other Expenditure Pertaining To Exploration And Production Activities,0.9482
"Has the company identified risk and threats it faces in ensuring the safet and security of its passengers, staff, and assets",Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,1.0,0.2723,1.0,0.0,0.0,Kalman Verified (High),Description Of How Entity Reflects Its Risk Management Strategy By Using Hedge Accounting And Designating Hedging Relationships That It Frequently Resets,0.9685
Does the company collaborate with external agencies to reduce the amount of food loss and waste,Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block,1.0,0.4722,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals,0.9827
Is the company promoting local tourism,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,1.0,0.2988,1.0,0.0,0.0,Kalman Verified (High),Amount Spent In Local Area,0.9407
"Does the company actively engage in the research collaborations with the universities, research institutions and other companies",Research And Development Expense,1.0,0.3821,1.0,0.0,0.0,Kalman Verified (High),Research Development Expenditure,0.9698
"Provide details on development of clinical technology, clinical capabilites and programmes",Details Regarding Technology Absorption,1.0,0.2779,1.0,0.0,0.0,Kalman Verified (High),Expenditure Incurred On Research And Development,0.8558
"Does the entity have system/mechanism in place to address issues (congestion, indoor coverage, call drops, modernisation and upgrade of data speeds, among others)",Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.4272,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.9167
"Does the company have digital/smart substations or plans to have it in future? (If yes, provide the number of substation)",Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.284,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.9562
Does the company use smart metters in its distribution grid,Transportation Distribution Expenses,0.9917,0.1965,1.0,0.0104,0.01,Kalman Verified (High),Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,0.9396
Does the company have inhouse research and development facilities/centres and team,Research And Development Expense,1.0,0.3773,1.0,0.0,0.0,Kalman Verified (High),Expenditure Incurred On Research And Development,0.902
Is the company offering e-learning courses/certifications to its students,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,1.0,0.1761,1.0,0.0,0.0,Kalman Verified (High),Whether Details Of Green House Gas Emissions And Its Intensity Is Applicable To The Company,0.898
ISO 22000 FSSC,ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,1.0,0.3094,1.0,0.0,0.0,Kalman Verified (High),Disclosure In Auditors Report Relating To Compliance With Section 185 And 186 Of Companies Act 2013,0.0
Does the company confirm on its commitments to follow guidelines provided by FSSAI and NIN,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,1.0,0.2197,1.0,0.0,0.0,Kalman Verified (High),Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,0.781
Does the company conduct food safety audits,Safety Security Expenses,0.9939,0.399,1.0,0.0102,0.01,Kalman Verified (High),Number Of Complaints Filed During The Year - Health Safety Complaints Member,0.8974
Does the company mention use of natural ingredients in their products and are they approved by government norms,Reclaimed Products And Their Packaging Materials As Percentage Of Total Products Sold In Respective Category - Reclaimed Products And Their Packaging Domain8,1.0,0.3563,1.0,0.0,0.0,Kalman Verified (High),Reclaimed Products And Their Packaging Materials As Percentage Of Total Products Sold In Respective Category - Reclaimed Products And Their Packaging Domain3,1.0
does the company have a policy on ingredient safety? is there any mention of use of paraben in the products,Whether There Is Any Voluntary Change In Accounting Policy,1.0,0.0595,1.0,0.0,0.0,Kalman Verified (High),Whether There Is Any Change In Functional Currency During The Year,0.9053
ISO 13485,ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,1.0,0.3707,1.0,0.0,0.0,Kalman Verified (High),Date Of Board Of Directors Meeting In Which Board Report Referred To Under Section 134 Was Approved,0.0
Does the company have a policy for ensuring quality and patient safety during clinical trials,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,0.9919,0.2089,1.0,0.0102,0.01,Kalman Verified (High),Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.9106
Does the entity display relevant information on the product labels as per the requirements of national and international drug regulatory bodies,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,1.0,0.6381,1.0,0.0,0.0,Kalman Verified (High),Assurer Has Assured Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,0.8479
How many labs are NABL accredited,Indication Of How Frequently Hedging Relationships Are Discontinued And Restarted,1.0,0.0839,1.0,0.0,0.0,Kalman Verified (High),Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,0.8592
How did the entity handle aliquots and provide details on reducing aliquots,Details Of Instances As To How The Inputs Received From Stakeholders On These Topics Were Incorporated Into Policies And Activities Of The Entity Explanatory Text Block,1.0,0.339,1.0,0.0,0.0,Kalman Verified (High),Provide The Processes For Consultation Between Stakeholders And The Board On Economic Environmental And Social Topics Or If Consultation Is Delegated How Is Feedback From Such Consultations Provided To The Board Explanatory Text Block,0.9622
Does the company have a dedicated ethics committee to oversee all the clinical trials,Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,1.0,0.4316,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.8676
Does the company have a public policy committing it and/or its suppliers to animal welfare principles,Remarks For Assurance Of APreferential Procurement Policy Where Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups And Its Percentage Of Total Procurement By Value Does It Constitute,1.0,0.3291,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For APreferential Procurement Policy Where Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups And Its Percentage Of Total Procurement By Value Does It Constitute,1.0
Does the company meet priority sector lending requirements as per RBI,Sector In Which Project Is Covered,0.9819,0.3822,1.0,0.0293,0.03,Kalman Verified (High),Profit Loss For The Period As Per Ind As,0.8953
"Does the entity have a plan to lend to MSME? If yes, provide details",Does The Entity Have ABusiness Continuity And Disaster Management Plan,1.0,0.5338,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.8252
Does the company have a policy or commitment on financial inclusion,Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,1.0,0.2838,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have An Anti Corruption Or Anti Bribery Policy,0.9959
Does the company have programmes for listing designed to promote small businesses (MSME) and community development,Assurance Sub Type For Describe The Mechanisms To Receive And Redress Grievances Of The Community,1.0,0.2587,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Describe The Mechanisms To Receive And Redress Grievances Of The Community,1.0
Does the company index for social enterprises that target underserved or less privileged population segments,Micro Small Medium Enterprises Domain,1.0,0.3408,1.0,0.0,0.0,Kalman Verified (High),Disclosure Of Reportable Segments Explanatory,0.978
Does the company have its products in compliance with BIS standards,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.3596,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,0.9261
Is the company adhering to Food Safety Standards and Processes,Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks Is Not Applicable Explanatory Text Block,1.0,0.3354,1.0,0.0,0.0,Kalman Verified (High),Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,0.9924
Description of actions and initiatives to promote access to healthcare products for priority diseases,Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services,1.0,0.3187,1.0,0.0,0.0,Kalman Verified (High),Details If The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services Is Not Applicable Explanatory Text Block,0.8178
Does the company focus on providing healthcare facilities to vulnerable portions of the population,Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services,1.0,0.4427,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,0.8349
N-CAP Rating of 4 or 5 star?,Disclosure As Per Sub Rule 5 Of Rule 8 Of Companies Accounts Rules 2014 Explanatory,0.9921,0.2279,1.0,0.0102,0.01,Kalman Verified (High),Statement Showing Details Of Employees Of Company Under Sub Rule 2 And 3 Of Rule 5 Of Companies Appointment And Remuneration Of Managerial Personnels Rules 2014 Explanatory,0.7335
"Is the company sourcing raw materials from the certified sustainable sources (such as global GAP, RSPO, Rainforest, FSC)",Raw Materials Consumed,1.0,0.5607,1.0,0.0,0.0,Kalman Verified (High),Description Of Raw Materials Category,0.897
Do the farmers have access to PPE kits to prevent themselves from exposure to pesticides while handling wet green tobacco leaves which could lead to Green Tobacco Sickness,Does The Entity Have Any Project Related To Reducing Green House Gas Emission,1.0,0.3741,1.0,0.0,0.0,Kalman Verified (High),Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services,0.9441
Does the company have any standards or programmes related to sustainable tobacco during their supply chain process,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.5299,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.9685
Are there any technicians appointed during the supply chain process to detect or monitor the agriculture or crop management process,Notes Management And Process Disclosures Explanatory Text Block,1.0,0.1261,1.0,0.0,0.0,Kalman Verified (High),Whether There Are Any Related Party Transactions During Year,0.8472
Existence of management process for ensuring quality and patient safety during clinical trials,Notes Management And Process Disclosures Explanatory Text Block,1.0,0.2047,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Health And Safety Management System,0.9481
Provide information on project(s) for which ongoing Rehabilitation and Resettlements is being undertaken by the company,Whether Details Of Projects For Which Ongoing Rehabilitation And Resettlement Is Being Undertaken By Entity Is Assured By Assurer,1.0,0.7734,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Details Of Projects For Which Ongoing Rehabilitation And Resettlement Is Being Undertaken By Entity,0.9688
How many patents were filed and granted during the current year,Information Whether And How Other Features Were Incorporated Into Measurement Of Fair Value Share Options Granted,1.0,0.1958,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Filed During The Year - Wages Member,0.9188
Does the company have due diligence process for sourcing minerals as raw materials,Raw Materials Consumed,1.0,0.5191,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Procedures In Place For Sustainable Sourcing,0.9203
Has the entity performed audit by DoT and maintain compliance with EMF radiation levels set by local regulations and ICNIRP,Whether Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Is Assured By Assurer,1.0,0.245,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Specific Commitments Goals And Targets Set By The Entity With Defined Timelines,0.9342
Does the organisation have Board Diversity Policy,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,0.2483,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.8813
Presence of policy on appointment and reappointment of board of directors,Reappointment Of Independent Directors As Per Section 14910 Explanatory,1.0,0.6343,1.0,0.0,0.0,Kalman Verified (High),Total Number Of Board Of Directors,0.8694
Is the chairperson of the board an independent director?,Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,1.0,0.545,1.0,0.0,0.0,Kalman Verified (High),Whether The Processes For Consultation Between Stakeholders And The Board On Economic Environmental And Social Topics Or If Consultation Is Delegated How Is Feedback From Such Consultations Provided To The Board Is Assured By Assurer,0.9624
Does the company have separate roles for Chairman and CEO,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.2671,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have ABusiness Continuity And Disaster Management Plan,0.9702
Does the company have lead independent director on the board,Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,1.0,0.461,1.0,0.0,0.0,Kalman Verified (High),Assurer Has Assured Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,0.8006
Does the company ensure effectiveness of the board through internal or external evaluation or assessment,Name Of The External Agency That Undertook Independent Assessment Or Evaluation Or Assurance For Water Discharged Explanatory Text Block,1.0,0.4107,1.0,0.0,0.0,Kalman Verified (High),Name Of The External Agency That Undertook Independent Assessment Or Evaluation Or Assurance For Energy Consumption Explanatory Text Block,1.0
Does the company have processes in place to avoid/manage conflicts of interest involving members of the Board,Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,1.0,0.9008,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.8715
Does the company conduct training and awareness programmes on any of the NGBRC principles for BOD,Remarks For Assurance Of Awareness Programmes Conducted For Value Chain Partners On Any Of The Principles During The Financial Year,1.0,0.4429,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Awareness Programmes Conducted For Value Chain Partners On Any Of The Principles During The Financial Year,0.9937
Independence of Chairperson of committee (risk management),Disclosure Of Risk Management Strategy Related To Hedge Accounting Explanatory,1.0,0.4055,1.0,0.0,0.0,Kalman Verified (High),Explanation Of Risk Management Strategy Related To Hedge Accounting Explanatory,1.0
Independence of Chairperson of committee (NRC),Disclosure Of Composition Of CSR Committee Explanatory,1.0,0.5147,1.0,0.0,0.0,Kalman Verified (High),Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,0.9767
Independence of Chairperson of committee (Audit),Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,1.0,0.6306,1.0,0.0,0.0,Kalman Verified (High),Name Of Audit Firm,0.6299
Is there a claw back mechanism/policy for senior management/KMP,Whether There Is Any Voluntary Change In Accounting Policy,1.0,0.2787,1.0,0.0,0.0,Kalman Verified (High),Type Of Assurance For Policy And Management Processes,0.8779
Is the independent director paid commissions/incentives other than the board sitting fees,Sitting Fees Key Managerial Personnel Or Director,1.0,0.6285,1.0,0.0,0.0,Kalman Verified (High),Directors Sitting Fees,0.9191
Is the variable pay of executives linked to sustainability or ESG parameters,Environmental And Social Parameters Relevant To The Product As APercentage To Total Turnover,1.0,0.4061,1.0,0.0,0.0,Kalman Verified (High),Whether Company Has Published Sustainability Report For The Financial Year,0.7383
Does the company have a policy for appointment or reappointment o auditors,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,0.3175,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.8356
Discontinuation of auditors before end of term,Address Of Auditors,1.0,0.4367,1.0,0.0,0.0,Kalman Verified (High),Address Of Secretarial Auditors,0.9457
Does the entity have a whistleblower policy,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,0.5081,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,0.8512
Is the whistleblower policy applicable to value chain,The Enlisted Policies Do Not Applicable Extend To Your Value Chain Partners Explanatory Text Block - Principle5 Member,1.0,0.4571,1.0,0.0,0.0,Kalman Verified (High),The Enlisted Policies Do Not Applicable Extend To Your Value Chain Partners Explanatory Text Block - Principle1 Member,1.0
Does the entity have an anti corruption or anti bribery policy,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,1.0,1.0,0.0,0.0,Kalman Verified (High),Details For The Entity Have Not Applicable An Anti Corruption Or Anti Bribery Policy Explanatory Text Block,0.7724
Does the company have code of conduct policy,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,0.4038,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,0.8799
Does the company have a policy on anti-money laundering and/or insider trading/dealing,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,0.5016,1.0,0.0,0.0,Kalman Verified (High),Details For The Entity Have Not Applicable An Anti Corruption Or Anti Bribery Policy Explanatory Text Block,0.709
"Does the company provide training on code of conduct, anti corruption, and anti bribery policies to the employee",Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,0.6494,1.0,0.0,0.0,Kalman Verified (High),Anti Corruption Or Anti Bribery Policy Explanatory Text Block,0.8822
How does the company ensure that the minority shareholders effectively protect their interest and rights within company,Profit Loss For Period Before Minority Interest,1.0,0.4053,1.0,0.0,0.0,Kalman Verified (High),Number Of Shareholders Of Company,0.9301
Has the company undergone any fines/penalties/punishments/award/compunding fees/settlement amount paid in proceedings with regulators/law enforcement agencies/judicial institution during the financial year,Remarks For Assurance Of Details Of Fines Or Penalties Or Punishment Or Award Or Compounding Fees Or Settlement,1.0,0.5604,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Details Of Fines Or Penalties Or Punishment Or Award Or Compounding Fees Or Settlement,1.0
Does the company implement a comprehensive framework or Enterprise Risk Management framework,Description Of Regulatory Framework In Which Plan Operates,1.0,0.4535,1.0,0.0,0.0,Kalman Verified (High),Description Of Effect Of Regulatory Framework On Plan,1.0
"Has the company taken any corrective action or underway on any issues related to anti competitive model, based on adverse orders from regulatory authorities? If yes, provide details",Remarks For Assurance Of Details Of Corrective Action Taken Or Underway On Any Issues Related To Anti Competitive Conduct By The Entity Based On Adverse Orders From Regulatory Authorities,1.0,0.7701,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Details Of Corrective Action Taken Or Underway On Any Issues Related To Anti Competitive Conduct By The Entity Based On Adverse Orders From Regulatory Authorities,1.0
Does the entity have a business continuity and disaster management plan,Does The Entity Have ABusiness Continuity And Disaster Management Plan,1.0,0.8995,1.0,0.0,0.0,Kalman Verified (High),Assurer Has Assured Whether The Entity Have ABusiness Continuity And Disaster Management Plan,0.8116
Does the company have ESG or Sustainability or BRSR policy,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,0.2863,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,0.9777
Does the company perform materiality assessment and identify material ESG issues,Whether The Company Has Undertaken Assessment Or Assurance Of The BRSRCore,1.0,0.506,1.0,0.0,0.0,Kalman Verified (High),Material Issue Identified - Entitys Material Responsible Business Conduct Issues Domain37,0.9555
Does the company conduct assurance for its ESG or sustainability data through a third party or external agency,Name Of The External Agency If Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Energy Consumption Explanatory Text Block,1.0,0.6082,1.0,0.0,0.0,Kalman Verified (High),Name Of The External Agency In Case Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Water Withdrawal Explanatory Text Block,0.9799
Does the company conduct assurance for its suppliers’ ESG or sustainability data through a third party or external agency,Name Of The External Agency If Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Energy Consumption Explanatory Text Block,1.0,0.5865,1.0,0.0,0.0,Kalman Verified (High),Name Of The External Agency In Case Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Water Withdrawal Explanatory Text Block,0.9799
Does the company have a highest authority responsible for implementation and oversight of the Business Responsibility(ies) and ESG policy,Details Of The Highest Authority Responsible For Implementation And Oversight Of The Business Responsibility Policy Explanatory Text Block,1.0,0.6763,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Details Of The Highest Authority Responsible For Implementation And Oversight Of The Business Responsibility Policy,0.9896
