question_text,best_match,mha_similarity_score,verification_status,alt_match_1,alt_score_1,alt_match_2,alt_score_2
Is the company using sustainable material in its typre (also state the ttype of material used) or has committed to use sustainable material in typres,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.5466,Medium Confidence (MHA),Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.529,Whether Company Has Published Sustainability Report For The Financial Year,0.5069
Is the company manufacturing sustainable/eco-friendly paint/coatings,Whether Company Has Published Sustainability Report For The Financial Year,0.4273,Low Confidence (MHA),Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,0.4182,Remarks For Assurance Of Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,0.4124
Is the company manufacturing any energy efficient products or is spending on R&D for manufacturing such products in near future?,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,0.472,Low Confidence (MHA),Remarks For Assurance Of The Entity Has Undertaken Any Specific Initiatives Or Used Innovative Technology Or Solutions To Improve Resource Efficiency,0.4622,Capital Investment On Energy Conservation Equipments,0.4615
Is the company fulfilling International Maritime Organisation - MARPOL Air Pollution prevention guidelines,Hazardous Air Pollutants,0.5318,Medium Confidence (MHA),Hazardous Air Pollutants - Previous Year,0.4957,Remarks For Assurance Of Details Of Air Emissions Other Than Ghg Emissions By The Entity,0.4496
Whether an occupational health and safety management system is implemented by the entity,Whether An Occupational Health And Safety Management System Has Been Implemented By The Entity,0.9833,High Confidence (MHA),An Occupational Health And Safety Management System Has Been Not Applicable To The Entity Explanatory Text Block,0.7511,Details Of Occupational Health And Safety Management System Explanatory Text Block,0.7074
What are the processes used to identify work-related hazards and assess risks on a routine and non routine bassi by the entity,Desclosure Of The Processes Used To Identify Work Related Hazards And Assess Risks On ARoutine And Non Routine Basis By The Entity Explanatory Text Block,0.7151,High Confidence (MHA),Whether You Have Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks,0.6983,Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks Is Not Applicable Explanatory Text Block,0.6391
Does the company have processes for workers to report the work related hazards and to remove themselves from such risks (Y/N),Whether You Have Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks,0.8931,High Confidence (MHA),Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks Is Not Applicable Explanatory Text Block,0.7835,Desclosure Of The Processes Used To Identify Work Related Hazards And Assess Risks On ARoutine And Non Routine Basis By The Entity Explanatory Text Block,0.6223
Was there training given to workers on health and sagety measures in Current Year,Number Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Workers Member - Previous Year,0.6153,Medium Confidence (MHA),Number Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member - Previous Year,0.6103,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Workers Member - Previous Year,0.6057
Does the company mention that they have a safety committee/policy in place with respect to accidents or misfortune events,Remarks For Assurance Of Details Of Safety Related Incidents,0.6657,Medium Confidence (MHA),Assurance Sub Type For Details Of Safety Related Incidents,0.6429,Whether Details Of Safety Related Incidents Is Assured By Assurer,0.6263
Does the entity have ISO 45001:2018 certification,Whether Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle Is Assured By Assurer,0.537,Medium Confidence (MHA),Company IDOr LLPIDOr Firm IDOf Assessment Or Assurance Provider - Assessment Or Assurance Provider Domain5,0.5097,Date Of Signing By Assessor Or Assurer - Assessment Or Assurance Provider Domain5,0.4994
Are the entity’s manufacturing facilties WRAP certified,Assurer Has Assured Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,0.4636,Low Confidence (MHA),Whether Overview Of The Entitys Material Responsible Business Conduct Issues Is Assured By Assurer,0.4589,Whether Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle Is Assured By Assurer,0.4554
Does the company have a target to achieve gender diversity in the workforce,Number Of Employees Or Worker For Performance And Career Development - Other Gender Member - Employees Member,0.5882,Medium Confidence (MHA),Number Of Employees Or Worker For Performance And Career Development - Other Gender Member - Workers Member,0.5842,Number Of Female Employees Or Workers,0.5822
Does the company have a diversity equality and inclusion policy,Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,0.5626,Medium Confidence (MHA),Remarks For Assurance Of Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,0.533,Assurance Sub Type For Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,0.5031
Does the company have policy for precention to prevent sexual harassment at workplace,Remarks For Assurance Of Complaints Filed Under The Sexual Harassment Of Women At Workplace,0.7337,High Confidence (MHA),Whether Complaints Filed Under The Sexual Harassment Of Women At Workplace Is Assured By Assurer,0.7026,Total Complaints Reported Under Sexual Harassment Of Women At Workplace,0.6713
Are all complaints filed by the employees during current fiscal year closed,Number Of Complaints Filed During The Year - Working Conditions Complaints Member - Previous Year,0.6433,Medium Confidence (MHA),Number Of Complaints Filed During The Year - Working Conditions Complaints Member,0.6313,Number Of Complaints Filed During The Year - Wages Member - Previous Year,0.613
Does the company have a human rights policy established,Do Human Rights Requirements Form Part Of Your Business Agreements And Contracts,0.686,Medium Confidence (MHA),Remarks For Assurance Of Employees And Workers Who Have Been Provided Training On Human Rights Issues And Policies Of The Entity,0.6776,Remarks For Assurance Of Human Rights Requirements Form Part Of Your Business Agreements And Contracts,0.6743
"Does the company provide medical assistance (Ambulance service, fixed medical checkups, to the employees)",Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services,0.6496,Medium Confidence (MHA),Whether Company Has Received Any Government Grant Or Government Assistance,0.5575,Remarks For Assurance Of Measures Taken By The Entity To Ensure ASafe And Healthy Work Place,0.5044
"Does the company take measures for the well being of individuals other than permanent employees (which may include interns, contracts, etc.)",Number Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Other Than Permanent Employees Member,0.6195,Medium Confidence (MHA),Number Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,0.6109,Number Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,0.6076
Does the organisation have opportunities for Paternal leavesWhat all initiatives does the organisation undertake for increase in the retention rate of employees,Retention Rates Permanent Employees That Took Parental Leave - Male Member,0.6628,Medium Confidence (MHA),Retention Rates Permanent Employees That Took Parental Leave - Other Gender Member,0.6455,Retention Rates Permanent Employees That Took Parental Leave - Gender Member,0.6454
Does the company have employe development programs that have been developed to upgrade and improve employee skills,Does The Entity Provide Transition Assistance Programs To Facilitate Continued Employability And The Management Of Career Endings Resulting From Retirement Or Termination Of Employment,0.5127,Medium Confidence (MHA),Number Of Trained Employees Or Workers - Male Member - On Skill Upgradation Member - Employees Member - Previous Year,0.4924,Number Of Trained Employees Or Workers - Female Member - On Skill Upgradation Member - Employees Member - Previous Year,0.4868
Did the company face any strike in the current year,Number Of Workers Against Whom Disciplinary Action Was Taken - Previous Year,0.5291,Medium Confidence (MHA),Number Of Employees Against Whom Disciplinary Action Was Taken - Previous Year,0.5102,Total Number Of Affected Workers - Previous Year,0.4899
Does the company conduct an employee satisfaction survey,Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole,0.5973,Medium Confidence (MHA),Percentage Of Complaints In Respect Of Number Of Employees Or Worker,0.5514,Percentage Of Complaints In Respect Of Number Of Employees Or Worker - Previous Year,0.5346
Does the company have policy on offering stock options,Proceeds From Exercise Of Stock Options,0.605,Medium Confidence (MHA),Cost Incurred By Holding Company For Issuing Options Or Shares Under Employee Stock Option Or Stock Purchase Scheme,0.5782,Amount Of Shares Issued Under Employee Stock Option Plan,0.5778
Does the company have mechanisms to receive and respond to consumer complaints and feedback,Remarks For Assurance Of The Mechanisms In Place To Receive And Respond To Consumer Complaints And Feedback,0.8757,High Confidence (MHA),Whether The Mechanisms In Place To Receive And Respond To Consumer Complaints And Feedback Is Assured By Assurer,0.8178,Describe The Mechanisms In Place To Receive And Respond To Consumer Complaints And Feedback Explanatory Text Block,0.7303
"Did your entity carry out any survey with regard to consumer satisfaction relating to the major products/services of the entity, significant locations of operation of the entity or the entity as a whole",Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole,0.9732,High Confidence (MHA),The Entity Has Not Applicable Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Explanatory Text Block,0.7521,Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,0.5617
Steps taken to inform and educate consumers about safe and responsible usage of products and/or service,Remarks For Assurance Of Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,0.9648,High Confidence (MHA),Whether Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services Is Assured By Assurer,0.872,Assurance Sub Type For Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,0.8671
ISO 9001:2015 certification,Certificate Of Practice Number Of Secretarial Auditor,0.4509,Low Confidence (MHA),Whether Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle Is Assured By Assurer,0.4372,Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle Explanatory Text Block - Principle8 Member,0.4146
Does the entity display product information on the product over and above what is mandated as per local laws,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,1.0,High Confidence (MHA),Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,0.9039,The Entity Has Not Applicable Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block,0.798
"When the onboarding of new vendors takes place, does the company have their supplier code of conduct designed",Do You Have APreferential Procurement Policy Where You Give Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups,0.4992,Low Confidence (MHA),Assurance Sub Type For APreferential Procurement Policy Where Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups And Its Percentage Of Total Procurement By Value Does It Constitute,0.4832,NICCode Of Product Or Service Of Conducted Lifecycle Perspective - The Entity Conducted Life Cycle Perspective Or Assessments Domain14,0.4827
Disclose any significant adverse impact on the environment arising from the value chain of the entity. Are there any mitigations or adaptiation measures taken by the entity in this context,Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard,0.9265,High Confidence (MHA),Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Explanatory Text Block,0.9021,Whether Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Is Assured By Assurer,0.8665
Provide details of any corrective actions taken or underway to adderss significant risks/concerns arising from asessment of health and safety practices practices and working conditions of value chain partners,Remarks For Assurance Of Details Of Any Corrective Action Taken Or Underway To Address Safety Related Incidents On Assessment Of Value Chain Partners,0.8059,High Confidence (MHA),Remarks For Assurance Of Details Of Any Corrective Actions Taken Or Underway To Address Significant Risks Or Concerns Arising From The Assessments Of Value Chain Partner,0.7996,Details Of Any Corrective Action Taken Or Underway To Address Safety Related Incidents On Assessment Of Value Chain Partners Explanatory Text Block,0.7759
Does the entity have procedures in place for sustainable sourcing strategy around sustainable/efficient/responsible supply chain,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.911,High Confidence (MHA),Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.7974,Whether The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably Is Assured By Assurer,0.7399
Is there a robust supplier assessment done by the company to avoid any conflicts with ESG requirements/sustainability/ESG assessment for suppliers,Whether The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably Is Assured By Assurer,0.5303,Medium Confidence (MHA),Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.5137,Remarks For Assurance Of Details Of Any Corrective Actions Taken Or Underway To Address Significant Risks Or Concerns Arising From The Assessments Of Value Chain Partner,0.5061
Does the company have a documented CSR policy in place,Whether Company Has Written CSR Policy,0.9084,High Confidence (MHA),Disclosure Web Link Of Company At Which CSR Policy Is Placed,0.841,Details CSR Policy Explanatory,0.7883
Whether there are mechanisms to receive and redress grievances of the community,Remarks For Assurance Of Describe The Mechanisms To Receive And Redress Grievances Of The Community,0.9334,High Confidence (MHA),Whether Describe The Mechanisms To Receive And Redress Grievances Of The Community Is Assured By Assurer,0.813,Grievance Redressal Mechanism In Place - Complaint Received From Communities Member,0.7671
Does the entity disclose the details of beneficiaries of CSR projects,Disclosure Overview Of Projects Or Programs Proposed To Be Undertaken CSR Policy,0.711,High Confidence (MHA),Whether Details Of Beneficiaries Of CSRProjects Is Assured By Assurer,0.6886,Remarks For Assurance Of Details Of Beneficiaries Of CSRProjects,0.6692
"Does the company conduct impact assessments for CSR projects? If yes, provide details",Whether Details Of Social Impact Assessments Of Projects Undertaken By The Entity Based On Applicable Laws Is Assured By Assurer,0.6925,Medium Confidence (MHA),Whether Details Of Environmental Impact Assessments Of Projects Undertaken By The Entity Based On Applicable Laws Is Assured By Assurer,0.6801,Remarks For Assurance Of Details Of Social Impact Assessments Of Projects Undertaken By The Entity Based On Applicable Laws,0.6509
Does the company conduct of assessment of negative impacts of its operation on the communities,Remarks For Assurance Of Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments,0.5606,Medium Confidence (MHA),Details Of Negative Social Impact Identified - Negative Social Impact Identified3,0.551,Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard,0.5472
Provide details of actions taken to mitigate any negative social impacts identified in the Social Impact Assessments,Remarks For Assurance Of Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments,0.954,High Confidence (MHA),Whether Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments Is Assured By Assurer,0.8745,Assurance Sub Type For Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments,0.858
Does the entity have a framework/policy on cybersecurity and risks related to data privacy,Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.8649,High Confidence (MHA),Remarks For Assurance Of Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.7967,Assurance Sub Type For Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.7302
Does the company’s policy on cybersecurity and risks related to data privacy extend to its value chain partners,Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.6864,Medium Confidence (MHA),Web Link Of The Policy On Cyber Security And Risks Related To Data Privacy,0.6455,Remarks For Assurance Of Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.639
Provide number of instances of data breaches along with their impact on the company,Number Of Instances Of Data Breaches Along With Impact,0.8674,High Confidence (MHA),Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,0.8075,Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,0.7214
Does the company conduct cybersecurity assessment by a third party,Name Of The Company Or LLPOr Firm Of Assessment Or Assurance Provider - Assessment Or Assurance Provider Domain3,0.5032,Medium Confidence (MHA),Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.4873,Name Of The Assessor Or Assurer - Assessment Or Assurance Provider Domain3,0.4804
"Does the entity comply with ISO 27001:2013, ISO 22301:2019 OR PCI DSS standards to safeguard the customer data",Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.5731,Medium Confidence (MHA),The Entity Has Not Applicable Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block,0.5446,Is The Entity Compliant With The Applicable Environmental Law,0.5416
Does the organisation conduct training on data privacy and awareness programs for information security to its customers/employees,Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.5626,Medium Confidence (MHA),Remarks For Assurance Of Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.5431,Remarks For Assurance Of Details Of Training Given To Employees And Workers,0.5337
Does the company have a communication plan for engaging with the communities affected with aircraft noise,Remarks For Assurance Of Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required,0.3848,Low Confidence (MHA),Whether Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required Is Assured By Assurer,0.3802,Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.3666
Does the company comply with Maritime Labour Convention adopted by International Labour Organisation in 2006,Do The Enlisted Policies Extend To Your Value Chain Partners - Principle6 Member,0.4065,Low Confidence (MHA),Remarks For Assurance Of Whether The Enlisted Policies Extend To Your Value Chain Partners,0.4039,Do The Enlisted Policies Extend To Your Value Chain Partners - Principle9 Member,0.4022
Is the company’s training centre for its seafarers certified or has got validated by any institution,Whether The Company Has Undertaken Assessment Or Assurance Of The BRSRCore,0.4819,Low Confidence (MHA),Whether Details Of Training Given To Employees And Workers Is Assured By Assurer,0.446,Whether The Company Has Undertaken Reasonable Assurance Of The BRSRCore,0.4324
Does the company have agreements which safeguard the wellbeing of farm workers through the Agricultural Labour Practices Code,Remarks For Assurance Of Measures Taken By The Entity To Ensure ASafe And Healthy Work Place,0.4728,Low Confidence (MHA),Whether Measures Taken By The Entity To Ensure ASafe And Healthy Work Place Is Assured By Assurer,0.4682,Remarks For Assurance Of Human Rights Requirements Form Part Of Your Business Agreements And Contracts,0.4628
Does the company ensure its jewellery meet BIS hallmark standards for quality assurance,Whether Complaints Or Grievances On Any Of The Principles Under The National Guidelines On Responsible Business Conduct Is Assured By Assurer,0.4892,Low Confidence (MHA),Whether The Company Has Undertaken Reasonable Assurance Of The BRSRCore,0.4763,Whether Awareness Programmes Conducted For Value Chain Partners On Any Of The Principles During The Financial Year Is Assured By Assurer,0.4728
Is the education institute providing placement assistance to its students,Amount Due For Transfer To Investor Education And Protection Fund,0.3346,Low Confidence (MHA),Outcome Of The Initiative - Specific Initiatives Domain29,0.3271,Outcome Of The Initiative - Specific Initiatives Domain8,0.3266
Does the company have a editorial policy,Whether Company Has Written CSR Policy,0.5237,Medium Confidence (MHA),Remarks For Assurance Of EMail Of The Company,0.4756,EMail Of The Company,0.4685
Does the company implement strategies to control and reduce the amount of construction and demolition waste from buildings that are constructed or are part of portfolio,Construction And Demolition Waste,0.6729,Medium Confidence (MHA),Construction And Demolition Waste - Previous Year,0.6263,Whether Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Is Assured By Assurer,0.5412
Does the company have programs established to measure food loss and waste,Whether Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Waste Management,0.593,Medium Confidence (MHA),Remarks For Assurance Of Details Related To Waste Management By The Entity,0.5676,Name Of The External Agency That Undertook Independent Assessment Or Evaluation Or Assurance Related To Waste Management Explanatory Text Block,0.564
Does the company have any targets to reduce food waste,Remarks For Assurance Of Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals,0.5999,Medium Confidence (MHA),Whether Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Is Assured By Assurer,0.5971,Remarks For Assurance Of Details Related To Waste Management By The Entity,0.5615
What initiatives are undertaken to mitigate the health risks of smoking and tobacco use,Changes In Exposure To Risk,0.4513,Low Confidence (MHA),Remarks For Assurance Of Details Of Significant Social Or Environmental Concerns From Production Or Disposal Of Product Or Service With Action Taken To Mitigate The Same,0.438,In Case Of Risk Approach To Adapt Or Mitigate - Entitys Material Responsible Business Conduct Issues Domain37,0.4339
Are any of its hospitals accredited with NABH or JIC? How many of its hospitals accredited with NABH or JIC?,Remarks For Assurance Of Measures Taken By The Entity To Ensure ASafe And Healthy Work Place,0.3692,Low Confidence (MHA),Assurance Sub Type For Whether The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,0.3451,Assurance Sub Type For Measures Taken By The Entity To Ensure ASafe And Healthy Work Place,0.3428
Does the company have a program or is taking efforts to increase the availability and affordability of the medicines in low income/developing markets,Whether Company Has Received Any Government Grant Or Government Assistance,0.4114,Low Confidence (MHA),Additions Other Than Through Business Combinations Biological Assets Other Than Bearer Plants At Cost,0.3958,Additions Other Than Through Business Combinations Biological Assets Other Than Bearer Plants At Fair Value,0.3831
Does the company have publicly available programs to improve the accessibility to healthcare,Is The Premise Or Office Of The Entity Accessible To Differently Abled Visitors As Per The Requirements Of The Rights Of Persons With Disabilities Act2016,0.5341,Medium Confidence (MHA),Remarks For Assurance Of Whether The Premise Or Office Of The Entity Accessible To Differently Abled Visitors As Per The Requirements Of The Rights Of Persons With Disabilities Act2016,0.4856,Assurer Has Assured Whether The Premise Or Office Of The Entity Accessible To Differently Abled Visitors As Per The Requirements Of The Rights Of Persons With Disabilities Act2016,0.4854
Are the production units and R&D centres certified to International Aerospace Standard AS9100D and other required aviation standards,Whether Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle Is Assured By Assurer,0.4703,Low Confidence (MHA),Remarks For Assurance Of Whether CSRIs Applicable As Per Section135 Of Companies Act2013,0.4392,Number Of Certified Emission Rights Held As Inventory,0.427
"Has the company identified risk and threats it faces in ensuring the safet and security of its passengers, staff, and assets",Description Of The Risk Or Concern - Product Or Service Domain13,0.6288,Medium Confidence (MHA),Description Of The Risk Or Concern - Product Or Service Domain17,0.6234,Description Of The Risk Or Concern - Product Or Service Domain7,0.6135
Does the company collaborate with external agencies to reduce the amount of food loss and waste,Whether Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Waste Management,0.6145,Medium Confidence (MHA),Name Of The External Agency That Undertook Independent Assessment Or Evaluation Or Assurance Related To Waste Management Explanatory Text Block,0.592,Remarks For Assurance Of Details Related To Waste Management By The Entity,0.555
Is the company promoting local tourism,Whether Projects Or Programs Undertaken In Local Area Or Other,0.4604,Low Confidence (MHA),Whether There Are Any Major Customers,0.4448,Remarks For Assurance Of Whether The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,0.4272
"Does the company actively engage in the research collaborations with the universities, research institutions and other companies",Whether Company Has Invested In Joint Ventures,0.5353,Medium Confidence (MHA),Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain36,0.5275,Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain47,0.5269
"Provide details on development of clinical technology, clinical capabilites and programmes",Name Of Project For Which Rehabilitation And Resettlement Is On Going - Projects For Rehabilitation And Resettlement43,0.3752,Low Confidence (MHA),Name Of Project For Which Rehabilitation And Resettlement Is On Going - Projects For Rehabilitation And Resettlement29,0.3739,Name Of Project For Which Rehabilitation And Resettlement Is On Going - Projects For Rehabilitation And Resettlement35,0.3738
"Does the entity have system/mechanism in place to address issues (congestion, indoor coverage, call drops, modernisation and upgrade of data speeds, among others)",Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Explanatory Text Block,0.5331,Medium Confidence (MHA),Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard,0.5147,Does The Entity Have ABusiness Continuity And Disaster Management Plan,0.4857
"Does the company have digital/smart substations or plans to have it in future? (If yes, provide the number of substation)",Assurance Sub Type For Telephone Of Company,0.3669,Low Confidence (MHA),Name Of The Company Or LLPOr Firm Of Assessment Or Assurance Provider - Assessment Or Assurance Provider Domain5,0.3664,Name Of The Company Or LLPOr Firm Of Assessment Or Assurance Provider - Assessment Or Assurance Provider Domain4,0.3535
Does the company use smart metters in its distribution grid,Measurement Bases Property Plant And Equipment,0.3826,Low Confidence (MHA),Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,0.3392,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,0.3379
Does the company have inhouse research and development facilities/centres and team,Name Of The Company,0.5095,Medium Confidence (MHA),Name Of Company,0.4747,Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.4695
Is the company offering e-learning courses/certifications to its students,Whether Company Is Maintaining Books Of Account And Other Relevant Books And Papers In Electronic Form,0.4205,Low Confidence (MHA),Remarks For Assurance Of Whether CSRIs Applicable As Per Section135 Of Companies Act2013,0.4129,Whether CSRIs Applicable As Per Section135 Of Companies Act2013,0.4079
ISO 22000 FSSC,ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,0.3094,Low Confidence (MHA),Disclosure In Auditors Report Relating To Compliance With Section 185 And 186 Of Companies Act 2013,0.2974,EIANotification Number - Environmental Impact Assessments Of Project22,0.2881
Does the company confirm on its commitments to follow guidelines provided by FSSAI and NIN,Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines11,0.4661,Low Confidence (MHA),Whether Compliance With Statutory Requirements Of Relevance To The Principles And Rectification Of Any Non Compliances Is Assured By Assurer,0.4651,Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines8,0.4631
Does the company conduct food safety audits,Whether Secretarial Audit Report Is Applicable On Company,0.5398,Medium Confidence (MHA),Name Of Audit Firm,0.5082,Whether Details Of Any Corrective Action Taken Or Underway To Address Safety Related Incidents Of Your Plants And Offices That Were Assessed Is Assured By Assurer,0.4909
Does the company mention use of natural ingredients in their products and are they approved by government norms,Remarks For Assurance Of Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,0.4544,Low Confidence (MHA),The Entity Has Not Applicable Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block,0.4329,Details Of Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block,0.423
does the company have a policy on ingredient safety? is there any mention of use of paraben in the products,Remarks For Assurance Of Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,0.3916,Low Confidence (MHA),Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,0.3659,Hazardous Air Pollutants,0.3425
ISO 13485,Date Of Board Of Directors Meeting In Which Board Report Referred To Under Section 134 Was Approved,0.371,Low Confidence (MHA),ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,0.3707,Number Of Certified Emission Rights Held As Inventory,0.3369
Does the company have a policy for ensuring quality and patient safety during clinical trials,Whether Details Of Instances Of Product Recalls On Account Of Safety Issues Is Assured By Assurer,0.4835,Low Confidence (MHA),Whether The Company Has Undertaken Reasonable Assurance Of The BRSRCore,0.4515,Assurance Sub Type For Details Of Instances Of Product Recalls On Account Of Safety Issues,0.4514
