brsr_question,xbrl_tag,bm25_score,ncd_score,p_value,verification_status,alt_xbrl_tag_1,alt_score_1
Does the company have due diligence process for sourcing minerals as raw materials,Raw Materials Consumed,18.5305,0.7867,0.0,Verified,Description Of Raw Materials Category,12.2366
Has the entity performed audit by DoT and maintain compliance with EMF radiation levels set by local regulations and ICNIRP,Cost Taxes Other Levies By Government Local Authorities,10.1663,0.7664,0.004,Verified,Cash And Cash Equivalents Held By Entity Unavailable For Use By Group,9.7754
Does the organisation have Board Diversity Policy,Directors Signing Board Report Domain,5.136,0.5965,0.004,Verified,Date Of Signing Board Report,4.712
Presence of policy on appointment and reappointment of board of directors,Reappointment Of Independent Directors As Per Section 14910 Explanatory,9.7843,0.6216,0.0,Verified,Directors Signing Board Report Domain,9.031
Is the chairperson of the board an independent director?,Whether Initial Application Of An Ind As Has An Effect On The Current Period Or Any Prior Period,10.3908,0.7011,0.0,Verified,Name Of Stock Exchange Where The Company Is Listed,9.5413
Does the company have separate roles for Chairman and CEO,Whether Company Has Published Sustainability Report For The Financial Year,6.7748,0.6282,0.0,Verified,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,6.6144
Does the company have lead independent director on the board,Number Of Employees In The Company At The End Of The Financial Year,10.7736,0.6716,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,9.8409
Does the company ensure effectiveness of the board through internal or external evaluation or assessment,Number Of Employees In The Company At The End Of The Financial Year,11.2777,0.7412,0.0,Weak Match - Review,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,10.8552
Does the company have processes in place to avoid/manage conflicts of interest involving members of the Board,Number Of Employees In The Company At The End Of The Financial Year,12.596,0.7609,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,11.3942
Does the company conduct training and awareness programmes on any of the NGBRC principles for BOD,Number Of Employees In The Company At The End Of The Financial Year,11.2777,0.7191,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,10.1906
Independence of Chairperson of committee (risk management),Explanation Of Risk Management Strategy Related To Hedge Accounting Explanatory,6.6318,0.6582,0.0,Verified,Disclosure Of Risk Management Strategy Related To Hedge Accounting Explanatory,6.4634
Independence of Chairperson of committee (NRC),Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,5.7679,0.802,0.0,Verified,Disclosure Of Composition Of CSR Committee Text Block,5.5833
Independence of Chairperson of committee (Audit),Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,9.2306,0.7624,0.0,Verified,Disclosure Of Composition Of CSR Committee Text Block,5.5833
Is there a claw back mechanism/policy for senior management/KMP,Whether There Is Any Voluntary Change In Accounting Policy,7.2755,0.6812,0.0,Weak Match - Review,Whether There Is Any Business Combination,6.5051
Is the independent director paid commissions/incentives other than the board sitting fees,Directors Sitting Fees,16.0841,0.7692,0.0,Verified,Sitting Fees Key Managerial Personnel Or Director,14.1123
Is the variable pay of executives linked to sustainability or ESG parameters,Whether Company Has Published Sustainability Report For The Financial Year,8.1835,0.5769,0.0,Verified,Name Of Stock Exchange Where The Company Is Listed,6.2146
Does the company have a policy for appointment or reappointment o auditors,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,8.244,0.6847,0.0,Verified,Whether Company Has Published Sustainability Report For The Financial Year,6.7748
Discontinuation of auditors before end of term,Short Term Borrowings,5.8891,0.75,0.012,Verified,Short Term Provisions,5.6589
Does the entity have a whistleblower policy,Initially Applied Ind A Ss Domain,6.3442,0.6667,0.002,Verified,Revenues From Transactions With Other Operating Segments Of The Same Entity,5.2093
Is the whistleblower policy applicable to value chain,Whether Secretarial Audit Report Is Applicable On Company,6.6065,0.5692,0.0,Verified,Whether Cash Flow Statement Is Applicable On Company,6.5789
Does the entity have an anti corruption or anti bribery policy,Whether Initial Application Of An Ind As Has An Effect On The Current Period Or Any Prior Period,8.8104,0.6897,0.0,Verified,Revenues From Transactions With Other Operating Segments Of The Same Entity,5.2093
Does the company have code of conduct policy,Number Of Employees In The Company At The End Of The Financial Year,6.7742,0.7313,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,6.1965
Does the company have a policy on anti-money laundering and/or insider trading/dealing,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,7.438,0.7297,0.0,Verified,Initially Applied Ind A Ss Domain,6.3442
"Does the company provide training on code of conduct, anti corruption, and anti bribery policies to the employee",Number Of Employees In The Company At The End Of The Financial Year,11.2777,0.7253,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,10.1906
How does the company ensure that the minority shareholders effectively protect their interest and rights within company,Number Of Employees In The Company At The End Of The Financial Year,12.5402,0.7766,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,11.6936
Has the company undergone any fines/penalties/punishments/award/compunding fees/settlement amount paid in proceedings with regulators/law enforcement agencies/judicial institution during the financial year,Whether Any Borrowing Costs Has Been Capitalised During The Year,17.08,0.8227,0.0,Verified,Whether Company Has Published Sustainability Report For The Financial Year,15.834
Does the company implement a comprehensive framework or Enterprise Risk Management framework,Description Of Regulatory Framework In Which Plan Operates,9.7226,0.625,0.0,Verified,Description Of Effect Of Regulatory Framework On Plan,8.8251
"Has the company taken any corrective action or underway on any issues related to anti competitive model, based on adverse orders from regulatory authorities? If yes, provide details",Whether Auditors Report Has Been Qualified Or Has Any Reservations Or Contains Adverse Remarks,14.208,0.7939,0.0,Weak Match - Review,Whether Company Has Entered Into Any Lease Agreement,12.5041
Does the entity have a business continuity and disaster management plan,Amount Incurred By Entity For Provision Of Key Management Personnel Services Provided By Separate Management Entity,6.6791,0.6702,0.0,Verified,Initially Applied Ind A Ss Domain,6.3442
Does the company have ESG or Sustainability or BRSR policy,Whether Company Has Published Sustainability Report For The Financial Year,10.4659,0.5769,0.0,Verified,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,7.8266
Does the company perform materiality assessment and identify material ESG issues,Number Of Employees In The Company At The End Of The Financial Year,6.2701,0.68,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,5.8468
Does the company conduct assurance for its ESG or sustainability data through a third party or external agency,Whether Company Has Published Sustainability Report For The Financial Year,11.766,0.625,0.0,Verified,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,11.1134
Does the company conduct assurance for its suppliers’ ESG or sustainability data through a third party or external agency,Whether Company Has Published Sustainability Report For The Financial Year,11.766,0.6697,0.0,Verified,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,11.1134
Does the company have a highest authority responsible for implementation and oversight of the Business Responsibility(ies) and ESG policy,Number Of Employees In The Company At The End Of The Financial Year,11.2777,0.7818,0.0,Verified,Details On Policy Development And Implementation By Company On Corporate Social Responsibility Initiatives Taken During Year Explanatory,11.1628
Does the company have a specified committee of the board/director responsible for decision making on sustainability related issues (Y/N),Whether Company Has Published Sustainability Report For The Financial Year,14.9583,0.693,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,11.2777
Were there any promotor sponsored resolutoins that were defeated during the current FY,Whether There Is Any Change In Functional Currency During The Year,10.1761,0.6329,0.0,Verified,Date Of Board Meeting When Final Accounts Were Approved,9.3057
Does the company follow GRI standards,Number Of Employees In The Company At The End Of The Financial Year,6.2701,0.7612,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,5.8468
Is the company aligned with SDGs? Does the company set targets according  to SDGs,Name Of Stock Exchange Where The Company Is Listed,13.8495,0.6849,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,13.6725
Is your company a signatory/participant of the United Nations Global Compact,Name Of Stock Exchange Where The Company Is Listed,8.5932,0.6835,0.002,Verified,Whether Company Is Listed Company,7.0724
Does the company have affiliatoins with trade and indsutry chambers/associations,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,7.8257,0.7033,0.0,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,6.2701
"Has the company advocated any public policy positions? If yes, provide details",Whether Company Has Entered Into Any Lease Agreement,9.3797,0.6974,0.0,Verified,Whether Any Borrowing Costs Has Been Capitalised During The Year,9.0518
Does the company disclose ESG engagement with investee company,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,9.6784,0.6923,0.0,Verified,Name Of Stock Exchange Where The Company Is Listed,8.0839
Does the entity have stewardship code,Product Or Service Category ITC4 Digit Code,5.4216,0.7059,0.018,Weak Match - Review,Revenues From Transactions With Other Operating Segments Of The Same Entity,5.2093
Is there a policy on related party transactions,Whether There Are Any Related Party Transactions During Year,10.1461,0.5469,0.0,Verified,Amounts Receivable Related Party Transactions,9.7248
Disclosure of transactions with related parties during the year which are more than 10% of the revenue,Whether There Are Changes In Acounting Estimates During The Year,13.3878,0.7253,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,12.7302
